iso3,country,pillar,module,indicator_id,indicator_name,indicator_type,variable_name,question,hierarchy_level,data_type,response,response_value,normalized_response_value,weight,score,parent,row_order,question_order,wip,wib,wim,regional_hub,un_region,barometer_region
DOM,Dominican Republic,Governance,PUBLIC FINANCE,G.PF.PUB-FINANCE,Governance (PF): Public finance data,Primary,G.PF.PUB-FINANCE,"To what extent do relevant laws, regulations, policies, and guidance provide a basis for collecting and publishing data on public finances? (E.g., government budgets, government spending, debt, and borrowing.)",1,response,,,,,49.9,G.PF.PUB-FINANCE,0,51497,0.065,0.0195,0.45,The Caribbean Open Institute (COI),Caribbean,Latin America and the Caribbean
DOM,Dominican Republic,Governance,PUBLIC FINANCE,G.PF.PUB-FINANCE,Governance (PF): Public finance data,Primary,G.PF.PUB-FINANCE,"To what extent do relevant laws, regulations, policies, and guidance provide a basis for collecting and publishing data on public finances? (E.g., government budgets, government spending, debt, and borrowing.)",1,justification,"The General Budget Directorate (DIGEPRES) is the responsible agency in this area (1). The legal framework of this directorate is govern by multiple laws. The Law No. 101-79 indicates that the directorate has to submit  monthly reports income and expenses of the government in Article 1-3 (2).

The Organic Budget for the Public Sector Law (Law No. 423-06), in Article 11 establish the principle of transparency and publication (3). It implies the guarantee of periodic public communication and free access to information by the citizenship on budget management.

Source

(1) DIGEPRES Website. https://www.digepres.gob.do/
(2) Law No. 101-79 on the obligation to submit monthly reports Income and Expenses. https://www.digepres.gob.do/transparencia/wp-content/uploads/2013/05/2.8.1.1.5-LEY-101-79-SOBRE-OBLIGATORIEDAD-DE-PRESENTAR-REPORTES-MENSUALES-INGRESOS-Y-EGRESOS.pdf
(3) Law No. 423-06 The Organic Budget for the Public Sector Law. https://www.digepres.gob.do/transparencia/wp-content/uploads/2013/07/Ley-Num-423-06-de-2006.pdf",,,,,G.PF.PUB-FINANCE,1,51497,0.065,0.0195,0.45,The Caribbean Open Institute (COI),Caribbean,Latin America and the Caribbean
DOM,Dominican Republic,Governance,PUBLIC FINANCE,G.PF.PUB-FINANCE,Governance (PF): Public finance data,Primary,G.PF.PUB-FINANCE,1,1,example,[Law No. 423-06](https://www.digepres.gob.do/transparencia/wp-content/uploads/2013/07/Ley-Num-423-06-de-2006.pdf),,,,,G.PF.PUB-FINANCE,3,51497,0.065,0.0195,0.45,The Caribbean Open Institute (COI),Caribbean,Latin America and the Caribbean
DOM,Dominican Republic,Governance,PUBLIC FINANCE,G.PF.PUB-FINANCE,Governance (PF): Public finance data,Primary,G.PF.PUB-FINANCE,2,1,example,[Law No. 101-79](https://www.digepres.gob.do/transparencia/wp-content/uploads/2013/05/2.8.1.1.5-LEY-101-79-SOBRE-OBLIGATORIEDAD-DE-PRESENTAR-REPORTES-MENSUALES-INGRESOS-Y-EGRESOS.pdf),,,,,G.PF.PUB-FINANCE,3.1,51497,0.065,0.0195,0.45,The Caribbean Open Institute (COI),Caribbean,Latin America and the Caribbean
DOM,Dominican Republic,Governance,PUBLIC FINANCE,G.PF.PUB-FINANCE,Governance (PF): Public finance data,Primary,G.PF.PUB-FINANCE.a,Existence,2,response,,,,1,1,G.PF.PUB-FINANCE,0,51498,0.065,0.0195,0.45,The Caribbean Open Institute (COI),Caribbean,Latin America and the Caribbean
DOM,Dominican Republic,Governance,PUBLIC FINANCE,G.PF.PUB-FINANCE,Governance (PF): Public finance data,Primary,G.PF.PUB-FINANCE.a.EXIST,"Are there laws, policies, or regulations requiring collection or publication of this information in any form?",4,response,They exist and are operational.,2,1,,,G.PF.PUB-FINANCE.a,0,51499,0.065,0.0195,0.45,The Caribbean Open Institute (COI),Caribbean,Latin America and the Caribbean
DOM,Dominican Republic,Governance,PUBLIC FINANCE,G.PF.PUB-FINANCE,Governance (PF): Public finance data,Primary,G.PF.PUB-FINANCE.a.EXIST,"1,2;Please provide brief details.",4,supporting,"The General Budget Directorate (DIGEPRES) is the responsible agency in this area (1). The legal framework of this directorate is govern by multiple laws. The Law No. 101-79 indicates that the directorate has to submit  monthly reports income and expenses of the government in Article 1-3 (2).

The Organic Budget for the Public Sector Law (Law No. 423-06), in Article 11 establish the principle of transparency and publication (3). It implies the guarantee of periodic public communication and free access to information by the citizenship on budget management.

Source

(1) DIGEPRES Website. https://www.digepres.gob.do/
(2) Law No. 101-79 on the obligation to submit monthly reports Income and Expenses. https://www.digepres.gob.do/transparencia/wp-content/uploads/2013/05/2.8.1.1.5-LEY-101-79-SOBRE-OBLIGATORIEDAD-DE-PRESENTAR-REPORTES-MENSUALES-INGRESOS-Y-EGRESOS.pdf
(3) Law No. 423-06 The Organic Budget for the Public Sector Law. https://www.digepres.gob.do/transparencia/wp-content/uploads/2013/07/Ley-Num-423-06-de-2006.pdf",,,,,G.PF.PUB-FINANCE.a,2,51499,0.065,0.0195,0.45,The Caribbean Open Institute (COI),Caribbean,Latin America and the Caribbean
DOM,Dominican Republic,Governance,PUBLIC FINANCE,G.PF.PUB-FINANCE,Governance (PF): Public finance data,Primary,G.PF.PUB-FINANCE.a.DATARULES,"Do relevant laws, policies, regulations, or guidance discuss the publication of open data?",4,response,"Requirements to publish this information as open data are set out in binding policy, regulations, or law.",3,1,,,G.PF.PUB-FINANCE.a,0,51500,0.065,0.0195,0.45,The Caribbean Open Institute (COI),Caribbean,Latin America and the Caribbean
DOM,Dominican Republic,Governance,PUBLIC FINANCE,G.PF.PUB-FINANCE,Governance (PF): Public finance data,Primary,G.PF.PUB-FINANCE.a.DATARULES,"1,2,3;Please provide a URL to the most relevant legislation, policy, or guidance.",4,supporting,https://www.digepres.gob.do/wp-content/uploads/2019/08/Ley-423-06-Organica-de-Presupuesto-para-el-Sector-Publico.pdf,,,,,G.PF.PUB-FINANCE.a,2,51500,0.065,0.0195,0.45,The Caribbean Open Institute (COI),Caribbean,Latin America and the Caribbean
DOM,Dominican Republic,Governance,PUBLIC FINANCE,G.PF.PUB-FINANCE,Governance (PF): Public finance data,Primary,G.PF.PUB-FINANCE.e,Elements,2,response,,,,100,49.9,G.PF.PUB-FINANCE,0,51501,0.065,0.0195,0.45,The Caribbean Open Institute (COI),Caribbean,Latin America and the Caribbean
DOM,Dominican Republic,Governance,PUBLIC FINANCE,G.PF.PUB-FINANCE,Governance (PF): Public finance data,Primary,G.PF.PUB-FINANCE.e.e1,"Provisions for definitions, kinds, and fields:",3,response,,,,50,24.9,G.PF.PUB-FINANCE.e,0,51502,0.065,0.0195,0.45,The Caribbean Open Institute (COI),Caribbean,Latin America and the Caribbean
DOM,Dominican Republic,Governance,PUBLIC FINANCE,G.PF.PUB-FINANCE,Governance (PF): Public finance data,Primary,G.PF.PUB-FINANCE.e.e1.SUMMARY,Summary reports must be provided as structured data.,4,response,No,0,0,8.5,0,G.PF.PUB-FINANCE.e.e1,0,51503,0.065,0.0195,0.45,The Caribbean Open Institute (COI),Caribbean,Latin America and the Caribbean
DOM,Dominican Republic,Governance,PUBLIC FINANCE,G.PF.PUB-FINANCE,Governance (PF): Public finance data,Primary,G.PF.PUB-FINANCE.e.e1.TRANSACTIONS,Expenditure information at the most disaggregated level of the economic classification must be provided as structured data. ,4,response,No,0,0,8.3,0,G.PF.PUB-FINANCE.e.e1,0,51504,0.065,0.0195,0.45,The Caribbean Open Institute (COI),Caribbean,Latin America and the Caribbean
DOM,Dominican Republic,Governance,PUBLIC FINANCE,G.PF.PUB-FINANCE,Governance (PF): Public finance data,Primary,G.PF.PUB-FINANCE.e.e1.EXECBUDGET,The rules/guidance require executive budget proposal information to be provided as structured data.,4,response,No,0,0,8.3,0,G.PF.PUB-FINANCE.e.e1,0,51505,0.065,0.0195,0.45,The Caribbean Open Institute (COI),Caribbean,Latin America and the Caribbean
DOM,Dominican Republic,Governance,PUBLIC FINANCE,G.PF.PUB-FINANCE,Governance (PF): Public finance data,Primary,G.PF.PUB-FINANCE.e.e1.ENACTED,The rules/guidance require the approved or enacted budget to be provided as structured data.,4,response,Yes,2,1,8.3,8.3,G.PF.PUB-FINANCE.e.e1,0,51506,0.065,0.0195,0.45,The Caribbean Open Institute (COI),Caribbean,Latin America and the Caribbean
DOM,Dominican Republic,Governance,PUBLIC FINANCE,G.PF.PUB-FINANCE,Governance (PF): Public finance data,Primary,G.PF.PUB-FINANCE.e.e1.ENACTED,2;Please indicate which section of the framework refers to this issue.,4,supporting,according to article 42 https://www.digepres.gob.do/wp-content/uploads/2019/08/Ley-423-06-Organica-de-Presupuesto-para-el-Sector-Publico.pdf,,,,,G.PF.PUB-FINANCE.e.e1,2.1,51506,0.065,0.0195,0.45,The Caribbean Open Institute (COI),Caribbean,Latin America and the Caribbean
DOM,Dominican Republic,Governance,PUBLIC FINANCE,G.PF.PUB-FINANCE,Governance (PF): Public finance data,Primary,G.PF.PUB-FINANCE.e.e1.INYEAR,The rules/guidance require in-year reports as structured data.,4,response,Yes,2,1,8.3,8.3,G.PF.PUB-FINANCE.e.e1,0,51507,0.065,0.0195,0.45,The Caribbean Open Institute (COI),Caribbean,Latin America and the Caribbean
